Movie Name,Release Date,Opening Day,Opening Weekend,End of Week 1,Lifetime,,,
Manchali,01-Jan-74,0 Cr N.A,0 Cr N.A,0 Cr N.A,3,,,
Pran Jaye Par Vachan Na Jaye,01-Jan-74,0 Cr N.A,0 Cr N.A,0 Cr N.A,5,,,
Resham Ki Dori,01-Jan-74,0 Cr N.A,0 Cr N.A,0 Cr N.A,6,,,
Geeta Mera Naam,01-Jan-74,0 Cr N.A,0 Cr N.A,0 Cr N.A,4,,,
Ajnabee,01-Jan-74,0 Cr N.A,0 Cr N.A,0 Cr N.A,9,,,
Dharam Karam,01-Dec-75,0 Cr N.A,0 Cr N.A,0 Cr N.A,4,,,
Warrant,06-Nov-75,0 Cr N.A,0 Cr N.A,0 Cr N.A,5,,,
Sanyasi,16-Oct-75,0 Cr N.A,0 Cr N.A,0 Cr N.A,4,,,
Rafoo Chakkar,01-Oct-75,0 Cr N.A,0 Cr N.A,0 Cr N.A,8,,,
Kala Sona,18-Sep-75,0 Cr N.A,0 Cr N.A,0 Cr N.A,5,,,
Sholay,15-Aug-75,0 Cr N.A,0 Cr N.A,0 Cr N.A,7,,,
Pratiggya,26-Jun-75,0 Cr N.A,0 Cr N.A,0 Cr N.A,6,,,
Umar Qaid,13-Jun-75,0 Cr N.A,0 Cr N.A,0 Cr N.A,8,,,
Jai Santoshi Maa,30-May-75,0 Cr N.A,0 Cr N.A,0 Cr N.A,3,,,
Chori Mera Kaam,02-May-75,0 Cr N.A,0 Cr N.A,0 Cr N.A,9,,,
Julie,18-Apr-75,0 Cr N.A,0 Cr N.A,0 Cr N.A,4,,,
Zameer,21-Mar-75,0 Cr N.A,0 Cr N.A,0 Cr N.A,7,,,
Deewaar,24-Jan-75,0 Cr N.A,0 Cr N.A,0 Cr N.A,0,,,
Prem Kahani,01-Jan-75,0 Cr N.A,0 Cr N.A,0 Cr N.A,5,,,
Do Thug,01-Jan-75,0 Cr N.A,0 Cr N.A,0 Cr N.A,6,,,
Chupke Chupke,01-Jan-75,0 Cr N.A,0 Cr N.A,0 Cr N.A,4,,,
Khel Khel Mein,30-Nov-74,0 Cr N.A,0 Cr N.A,0 Cr N.A,2,,,
Dharmatma,30-Nov-74,0 Cr N.A,0 Cr N.A,0 Cr N.A,5,,,
Zakhmee,30-Nov-74,0 Cr N.A,0 Cr N.A,0 Cr N.A,6,,,
Bairaag,04-Oct-76,0 Cr N.A,0 Cr N.A,0 Cr N.A,7,,,
Hera Pheri,03-Oct-76,0 Cr N.A,0 Cr N.A,0 Cr N.A,4,,,
Fakira,06-Sep-76,0 Cr N.A,0 Cr N.A,0 Cr N.A,5,,,
Charas,28-May-76,0 Cr N.A,0 Cr N.A,0 Cr N.A,6,,,
Dus Numbri,12-Mar-76,0 Cr N.A,0 Cr N.A,0 Cr N.A,2,,,
Kalicharan,07-Feb-76,0 Cr N.A,0 Cr N.A,0 Cr N.A,2,,,
Kabhi Kabhie,27-Jan-76,0 Cr N.A,0 Cr N.A,0 Cr N.A,4,,,
Chhoti Si Baat,01-Jan-76,0 Cr N.A,0 Cr N.A,0 Cr N.A,4,,,
Jaaneman,30-Nov-75,0 Cr N.A,0 Cr N.A,0 Cr N.A,2,,,
Shankar Dada,30-Nov-75,0 Cr N.A,0 Cr N.A,0 Cr N.A,4,,,
Maha Chor,30-Nov-75,0 Cr N.A,0 Cr N.A,0 Cr N.A,1,,,
